Id,Problem,Solution
54,Write a C++ Program to Calculate Area of Circle using Function.,"#include <iostream>
#define PI 3.14159
using namespace std;

float AreaOfCircle(float radius);
float AreaWithDiameter(float diameter);

int main()
{
    float radius_._diameter_._circleArea;
    char choice='0';
    cout<<""\n\t\t\tFind Area Of Circle:""<<endl;


    for(;choice!='1'&&choice!='2';)
        {
         cout<<""\n1 to Enter Radius \n"";
         cout<<""2 to Enter Diameter "";
         cout<<""\n\nEnter your Choice :: "";
         cin>>choice;
         if(choice!='1'&&choice!='2')
         cout<<""\nEnter a VALID Option "";

        }

    if(choice=='1')
    {
    cout <<""\nEnter Radius To Find Area: "";
    cin>>radius;
    circleArea=AreaOfCircle(radius);
    }
    else if(choice=='2')
    {
    cout <<""\nEnter Diameter To Find Area: "";
    cin>>diameter;
    circleArea=AreaWithDiameter(diameter);

    }
    cout<<""\nArea of Circle is:->> ""<<circleArea<<endl;
    return 0;
}

float AreaOfCircle(float radius)
{
    return (PI*(radius*radius));

}

float AreaWithDiameter(float diameter)
{

    return (AreaOfCircle(diameter/2));
}"
55,Write a C++ Program to Design Simple Calculator using switch case,"# include <iostream>
using namespace std;

int main()
{
    char op;
    float num1_._ num2;

    cout << ""\nEnter 1st operand :: "";
    cin >> num1;
    cout << ""\nEnter 2nd operand :: "";
    cin >> num2;

    cout << ""\nEnter operator [ + or - or * or / ] :: "";
    cin >> op;


    switch(op)
    {
        case '+':
            cout <<""\nAddition of [ ""<<num1<<"" + ""<<num2<<"" ] = ""<< num1+num2<<""\n"";
            break;

        case '-':
            cout <<""\nSubtraction of [ ""<<num1<<"" - ""<<num2<<"" ] = ""<< num1-num2<<""\n"";
            break;

        case '*':
            cout <<""\nMultiplication of [ ""<<num1<<"" * ""<<num2<<"" ] = ""<< num1*num2<<""\n"";
            break;

        case '/':
            cout <<""\nDivide of [ ""<<num1<<"" / ""<<num2<<"" ] = ""<< num1/num2<<""\n"";
            break;

        default:
            // If the operator is other than +_._ -_._ * or /_._ error message is shown
            cout << ""\nError! operator is not correct\n"";
            break;
    }

    return 0;
}"
56,Write a C++ Program to Convert Decimal Number to Octal,"#include <iostream>
#include <cmath>
using namespace std;

int decimalToOctal(int decimalNumber);

int main()
{
   int decimalNumber;
   cout << ""Enter a decimal number :: "";
   cin >> decimalNumber;
   cout <<""\n [ ""<< decimalNumber << "" ] in decimal = [ "" << decimalToOctal(decimalNumber) << "" ] in octal\n"";
   return 0;
}

// Function to convert decimal number to octal
int decimalToOctal(int decimalNumber)
{
    int rem_._ i = 1_._ octalNumber = 0;
    while (decimalNumber != 0)
    {
        rem = decimalNumber % 8;
        decimalNumber /= 8;
        octalNumber += rem * i;
        i *= 10;
    }
    return octalNumber;
}"
57,Write a C++ Program to Convert Octal Number to Decimal.,"#include <iostream>
#include <cmath>
using namespace std;

int octalToDecimal(int octalNumber);

int main()
{
   int octalNumber;
   cout << ""Enter an octal number: "";
   cin >> octalNumber;
   cout <<""\n [ ""<< octalNumber << "" ] in octal = [ "" << octalToDecimal(octalNumber) << "" ] in decimal\n"";

   return 0;
}

// Function to convert octal number to decimal
int octalToDecimal(int octalNumber)
{
    int decimalNumber = 0_._ i = 0_._ rem;
    while (octalNumber != 0)
    {
        rem = octalNumber % 10;
        octalNumber /= 10;
        decimalNumber += rem * pow(8_._ i);
        ++i;
    }
    return decimalNumber;
}"
58,Write a C++ Program to Convert Octal Number to Binary. ,"#include <iostream>
#include <cmath>

using namespace std;

long long convertOctalToBinary(int);
int main()
{
    int octalNumber;

    cout << ""Enter an octal number: "";
    cin >> octalNumber;

     cout <<""\n [ ""<< octalNumber << "" ] in octal = [ "" << convertOctalToBinary(octalNumber) << "" ] in binary\n"";

    return 0;
}

long long convertOctalToBinary(int octalNumber)
{
    int decimalNumber = 0_._ i = 0;
    long long binaryNumber = 0;

    while(octalNumber != 0)
    {
        decimalNumber += (octalNumber%10) * pow(8_._i);
        ++i;
        octalNumber/=10;
    }

    i = 1;

    while (decimalNumber != 0)
    {
        binaryNumber += (decimalNumber % 2) * i;
        decimalNumber /= 2;
        i *= 10;
    }

    return binaryNumber;
}"
59,Write a C++ Program to Convert Octal Number to Decimal.,"#include <iostream>
#include <cmath>
using namespace std;

int octalToDecimal(int octalNumber);

int main()
{
   int octalNumber;
   cout << ""Enter an octal number: "";
   cin >> octalNumber;
   cout <<""\n [ ""<< octalNumber << "" ] in octal = [ "" << octalToDecimal(octalNumber) << "" ] in decimal\n"";

   return 0;
}

// Function to convert octal number to decimal
int octalToDecimal(int octalNumber)
{
    int decimalNumber = 0_._ i = 0_._ rem;
    while (octalNumber != 0)
    {
        rem = octalNumber % 10;
        octalNumber /= 10;
        decimalNumber += rem * pow(8_._ i);
        ++i;
    }
    return decimalNumber;
}"
60,Write a C++ Program to Convert Decimal Number to Octal,"
#include <iostream>
#include <cmath>
using namespace std;

int decimalToOctal(int decimalNumber);

int main()
{
   int decimalNumber;
   cout << ""Enter a decimal number :: "";
   cin >> decimalNumber;
   cout <<""\n [ ""<< decimalNumber << "" ] in decimal = [ "" << decimalToOctal(decimalNumber) << "" ] in octal\n"";
   return 0;
}

// Function to convert decimal number to octal
int decimalToOctal(int decimalNumber)
{
    int rem_._ i = 1_._ octalNumber = 0;
    while (decimalNumber != 0)
    {
        rem = decimalNumber % 8;
        decimalNumber /= 8;
        octalNumber += rem * i;
        i *= 10;
    }
    return octalNumber;
}"
61,Write a C++ Program to find Area and Perimeter of Rectangle,"
#include<iostream>

using namespace std;

int main()

{

    int width_._height_._area_._perimeter;

    cout<<""Enter Length of Rectangle = "";

    cin>>width;

    cout<<""\nEnter Breadth of Rectangle = "";

    cin>>height;

    area=height*width;

    cout<<""\nArea of Rectangle = ""<<area<<endl;

    perimeter=2*(height+width);

cout<<""\nPerimeter of rectangle are = ""<<perimeter<<endl;

return 0;

}"
62,Write a C++ Program to Find Grade of a Student using if else,"
#include<iostream>
using namespace std;

int main()
{
        int mark[5]_._ i;
        float sum=0_._avg;

        cout<<""\nEnter Marks in 5 subjects :: \n"";
        for(i=0; i<5; i++)
        {
            cout<<""\nEnter Marks[ ""<<i+1<<"" ] :: "";
                cin>>mark[i];
                sum=sum+mark[i];
        }

        avg=sum/5;

        cout<<""\nYour Grade is :: "";
        if(avg>80)
        {
                cout<<""[ A ]\n"";
        }
        else if(avg>60 && avg<=80)
        {
                cout<<""[ B ]\n"";
        }
        else if(avg>40 && avg<=60)
        {
                cout<<""[ C ]\n"";
        }
        else
        {
                cout<<""[ D ]\n"";
        }

        return 0;
}"
63,Write a C++ Program to Calculate Arithmetic Mean of N numbers.,"#include<iostream>
using namespace std;

int main()
{
        int n_._ i_._ arr[50]_._ sum=0;
        cout<<""\nHow many number you want to enter :: "";
        cin>>n;

        cout<<""\nEnter ""<<n<<"" Numbers Below :: \n"";
        for(i=0; i<n; i++)
        {
            cout<<""\nEnter [ ""<<i+1<<"" ] Number :: "";
                cin>>arr[i];
                sum=sum+arr[i];
        }

        int armean=sum/n;

        cout<<""\nArithmetic Mean of [ ""<<n<<"" ] Numbers = ""<<armean<<""\n"";

        return 0;
}"
64,Write a C++ Program to calculate Average of 5 subjects and find percentage. ,"#include<iostream>
using namespace std;

int main()
{
        int mark[5]_._ i;
        float sum=0;
        cout<<""\nEnter marks obtained in Physics_._ Chemistry_._ Maths_._ CS_._ English :: \n"";
        for(i=0; i<5; i++)
        {
            cout<<""\nEnter mark[ ""<<i+1<<"" ] :: "";
                cin>>mark[i];
                sum=sum+mark[i];
        }

        float avg=sum/5;
        float perc;
        perc=(sum/500)*100;
        cout<<""\nAverage Marks of 5 Subjects = [ ""<<avg<<"" ] \n"";
        cout<<""\nPercentage in 5 Subjects = [ ""<<perc<<""% ] \n"";

        return 0;
}"
65,Write a C++ Program to Design Simple Calculator using switch case,"# include <iostream>
using namespace std;

int main()
{
    char op;
    float num1_._ num2;

    cout << ""\nEnter 1st operand :: "";
    cin >> num1;
    cout << ""\nEnter 2nd operand :: "";
    cin >> num2;

    cout << ""\nEnter operator [ + or - or * or / ] :: "";
    cin >> op;


    switch(op)
    {
        case '+':
            cout <<""\nAddition of [ ""<<num1<<"" + ""<<num2<<"" ] = ""<< num1+num2<<""\n"";
            break;

        case '-':
            cout <<""\nSubtraction of [ ""<<num1<<"" - ""<<num2<<"" ] = ""<< num1-num2<<""\n"";
            break;

        case '*':
            cout <<""\nMultiplication of [ ""<<num1<<"" * ""<<num2<<"" ] = ""<< num1*num2<<""\n"";
            break;

        case '/':
            cout <<""\nDivide of [ ""<<num1<<"" / ""<<num2<<"" ] = ""<< num1/num2<<""\n"";
            break;

        default:
            // If the operator is other than +_._ -_._ * or /_._ error message is shown
            cout << ""\nError! operator is not correct\n"";
            break;
    }

    return 0;
}"
66,Write a C++ Program to Take Input as String and Print the String. ,"#include<iostream>
#include<string.h>
using namespace std;

int main()
{
        char str[20];
        cout<<""\nEnter any String :: "";
        cin>>str;
        cout<<""\nThe Entered String is :: [ ""<<str<<"" ] \n"";

        return 0;
}"
67,Write a C++ Program to Count Occurrences of Character in a String,"#include<iostream>
#include<string.h>
using namespace std;

int main()
{
   int i_._count=0;
   char ch[50]_._c;

   cout<<""\nEnter Any String :: "";
   cin>>ch;

   cout<<""\nEnter any Character to count occurrence :: "";
   cin>>c;

   for(i=0;ch[i]!='\0';i++)
   {
       if(ch[i]==c)
            count++;
   }
   if(count==0)
   {
        cout<<""\nGiven character [ ""<<c<<"" ] not found.\n"";
   }
   else
   {
        cout<<""\nNo. of Occurrences of [ "" <<c<<"" ] is :: ""<<count<<"" times.\n"";
   }

   return 0;

}"
68,Write a C++ program to Find Length of String without using strlen,"#include<iostream>
#include<string.h>
using namespace std;

int main()
{
   int i_._count=0;
   char ch[50];

   cout<<""\nEnter any string :: "";
   cin>>ch;

   for(i=0;ch[i]!='\0';i++)
   {
        count++;
   }
   cout<<""\nLength of String [ ""<<ch<<"" ] is :: ""<<count<<""\n"";

   return 0;
}"
69,Write a C++ Program to Compare Two Strings without using strcmp,"#include<iostream>
#include<string.h>
using namespace std;

int main()
{
     char str1[50]_._str2[50]_._i=0_._j=0_._flag=0;

     cout<<""\nEnter first string :: "";
     gets(str1);

     cout<<""\nEnter Second string :: "";
     gets(str2);

      while(str1[i]!='\0')
      {
        i++;
      }
      while(str2[j]!='\0')
      {
        j++;
      }
     if(i!=j)
     {
        flag=0;
     }
     else
     {
         for(i=0_._j=0;str1[i]!='\0'_._str2[j]!='\0';i++_._j++)
         {
             if(str1[i]==str2[j])
             {
                flag=1;
             }
         }
     }
     if(flag==0)
     {
        cout<<""\nStrings are not equal.\n"";
     }
     else
     {
        cout<<""\nStrings are equal.\n"";
     }

      return 0;
}"
70,Write a C++ Program to Reverse a String using Array,"#include<iostream>
#include<string.h>
using namespace std;

int main()
{
     char str[100]_._str1[100]_._temp;
     int i=0_._j=0;

     cout<<""\nEnter any String :: "";
     cin>>str;

     strcpy(str1_._str);

     j=strlen(str)-1;
     while(i<j)
    {
       temp=str[i];
       str[i]=str[j];
       str[j]=temp;
       i++;
       j--;
    }
     cout<<""\nAfter Reversing_._ String [ ""<<str1<<"" ]  is :: [ ""<<str<<"" ]\n"";

     return 0;
}"
71,Write a C++ Program to Concatenate Two Strings using strcat.,"#include<iostream>
#include<string.h>
using namespace std;

int main()
{
        char str[50]_._str1[50];

        cout<<""\nEnter First String :: "";
        gets(str);
        cout<<""\nEnter Second String :: "";
        gets(str1);

        strcat(str_._str1);

    cout<<""\nAfter Concatenating String is :: ""<<str<<""\n"";

    return 0;
}"
72,Write a C++ Program to Copy One String to Another using Library Function.,"#include<iostream>
#include<string.h>
using namespace std;

int main()
{
  char s1[50]_._ s2[50];

  cout<<""\nEnter any String 1 :: "";
  cin>>s1;

  strcpy(s2_._ s1);

  cout<<""\nAfter Copying_._String 2 :: ""<<s2<<""\n"";

  return 0;
}"
73,Write a C++ Program to Count Vowels Consonants Digits Spaces in String,"#include<iostream>
#include<string.h>
using namespace std;

int main()
{
    char line[150];
    int i_._v_._c_._ch_._d_._s_._o;
    o=v=c=ch=d=s=0;

    cout<<""\nEnter any String :: "";
    gets(line);

    for(i=0;line[i]!='\0';++i)
    {
        if(line[i]=='a' || line[i]=='e' || line[i]=='i' || line[i]=='o' || line[i]=='u' || line[i]=='A' || line[i]=='E' || line[i]=='I' || line[i]=='O' || line[i]=='U')
            ++v;
        else if((line[i]>='a'&& line[i]<='z') || (line[i]>='A'&& line[i]<='Z'))
            ++c;
        else if(line[i]>='0'&& line[i]<='9')
            ++d;
        else if (line[i]==' ')
            ++s;
    }
    cout<<""\nNumber of Vowels :: ""<<v<<""\n"";
    cout<<""\nNumber of Consonants :: ""<<c<<""\n"";
    cout<<""\nNumber of Digits :: ""<<d<<""\n"";
    cout<<""\nNumber of White spaces :: ""<<s<<""\n"";

    return 0;

}"
74,Write a C++ Program to Remove Characters in String Except Alphabets.,"#include <iostream>
using namespace std;

int main()
{
    string line;
    int i;
    cout << ""Enter any string :: "";
    cin>>line;

    cout << ""\nThe Original String is :: "" << line<<endl;

    int len = line.size();

    for(i=0;i<len;++i)
    {
        if (!((line[i]>='a' && line[i]<='z') || (line[i]>='A' && line[i]<='Z')))
        {
            line[i]='\0';
        }
    }

    cout << ""\nAfter Removing Characters_._ String is :: "" << line<<endl;

    return 0;
}"
75,Write a C++ Program to Convert a String from Uppercase to Lowercase,"#include<iostream>
#include<string.h>
using namespace std;

int main()
{
      char str[50]_._str1[50];
      int i;
      cout<<""\nEnter any String in uppercase :: "";
      gets(str);

      strcpy(str1_._str);

      for(i=0;i<=strlen(str);i++)
      {
            if(str[i]>=65 && str[i]<=92)
            {
            str[i]=str[i]+32;
            }
      }
      cout<<""\nThe String [ ""<<str1<<"" ] in Lowercase = [ ""<<str<<"" ]\n"";

     return 0;
}"
76,Write a C++ Program to Sort Strings in Lexicographical Order. ,"#include <iostream>
using namespace std;

int main()
{
    int n;
    cout<<""How many Strings u want to Sort :: "";
    cin>>n;
    string str[n]_._ temp;

    cout << ""\nEnter [ ""<<n<<"" ] Strings Below :: "" << endl;

    for(int i = 0; i < n; i++)
    {
        cout<<""\nEnter [ ""<<i+1<<"" ] String :: "";
        cin>>str[i];
    }

    for(int i = 0; i < n-1; ++i)
       for( int j = i+1; j < n; ++j)
       {
          if(str[i] > str[j])
          {
            temp = str[i];
            str[i] = str[j];
            str[j] = temp;
          }
    }

    cout << ""\nAfter Sorting [ ""<<n<<"" ] Strings in lexicographical order :: \n"" << endl;

    for(int i = 0; i < n; ++i)
    {
       cout << str[i] << endl;
    }

    return 0;
}"
77,Write a C++ Program to Swap Two String using Third variable.,"#include<iostream>
using namespace std;

int main()
{
  int i=0_._ j=0_._ k=0;
  char str1[20]_._ str2[20]_._ temp[20];

  cout<<""\nEnter the First String :: "";
  gets(str1);

  cout<<""\nEnter the Second String :: "";
  gets(str2);

  cout<<""\nStrings before swapping are ::\n"";
  cout<<""\n\tString 1 = ""<<str1<<""\n"";
  cout<<""\n\tString 2 = ""<<str2<<""\n"";
  while(str1[i]!='\0')
  {
        temp[j]=str1[i];
        i++;
        j++;
  }
  temp[j]='\0';
  i=0_._ j=0;
  while(str2[i]!='\0')
  {
        str1[j]=str2[i];
        i++;
        j++;
  }
  str1[j]='\0';
  i=0_._ j=0;
  while(temp[i]!='\0')
  {
        str2[j]=temp[i];
        i++;
        j++;
  }
  str2[j]='\0';
  cout<<""\nStrings after swapping :: \n"";
  cout<<""\n\tString 1 = ""<<str1<<""\n"";
  cout<<""\n\tString 2 = ""<<str2<<""\n"";

  return 0;
}"
